date,batting_team,bowling_team,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,day,month,year,season,superover_winner,result_type,method,event_match_no,stage,target_score,chased_score,tie_match,venue_home_team,is_home_win
2008-04-18,KKR,RCB,BB McCullum,KKR,140 runs,RCB,field,m chinnaswamy stadium,bangalore,18,4,2008,2008,no super over,no super over,no super over,1,simple matches,223,82.0,0,RCB,0
2008-04-19,CSK,KXP,MEK Hussey,CSK,33 runs,CSK,bat,punjab cricket association stadium,chandigarh,19,4,2008,2008,no super over,no super over,no super over,2,simple matches,241,207.0,0,KXP,0
2008-04-19,RR,DC,MF Maharoof,DC,9 wickets,RR,bat,arun jaitley stadium,delhi,19,4,2008,2008,no super over,no super over,no super over,3,simple matches,130,132.0,0,DC,1
2008-04-20,MI,RCB,MV Boucher,RCB,5 wickets,MI,bat,wankhede stadium,mumbai,20,4,2008,2008,no super over,no super over,no super over,5,simple matches,166,166.0,0,MI,0
2008-04-20,DEC,KKR,DJ Hussey,KKR,5 wickets,DEC,bat,eden gardens,kolkata,20,4,2008,2008,no super over,no super over,no super over,4,simple matches,111,112.0,0,KKR,1
2008-04-21,KXP,RR,SR Watson,RR,6 wickets,KXP,bat,sawai mansingh stadium,jaipur,21,4,2008,2008,no super over,no super over,no super over,6,simple matches,167,168.0,0,RR,1
2008-04-22,DEC,DC,V Sehwag,DC,9 wickets,DEC,bat,rajiv gandhi international stadium,hyderabad,22,4,2008,2008,no super over,no super over,no super over,7,simple matches,143,143.0,0,SRH,0
2008-04-23,CSK,MI,ML Hayden,CSK,6 runs,MI,field,ma chidambaram stadium,chennai,23,4,2008,2008,no super over,no super over,no super over,8,simple matches,209,202.0,0,CSK,1
2008-04-24,DEC,RR,YK Pathan,RR,3 wickets,RR,field,rajiv gandhi international stadium,hyderabad,24,4,2008,2008,no super over,no super over,no super over,9,simple matches,215,217.0,0,SRH,0
2008-04-25,KXP,MI,KC Sangakkara,KXP,66 runs,MI,field,punjab cricket association stadium,chandigarh,25,4,2008,2008,no super over,no super over,no super over,10,simple matches,183,116.0,0,KXP,1
2008-04-26,RCB,RR,SR Watson,RR,7 wickets,RR,field,m chinnaswamy stadium,bangalore,26,4,2008,2008,no super over,no super over,no super over,12,simple matches,136,138.0,0,RCB,0
2008-04-26,KKR,CSK,JDP Oram,CSK,9 wickets,KKR,bat,ma chidambaram stadium,chennai,26,4,2008,2008,no super over,no super over,no super over,11,simple matches,148,152.0,0,CSK,1
2008-04-27,MI,DEC,AC Gilchrist,DEC,10 wickets,DEC,field,dr dy patil sports academy,mumbai,27,4,2008,2008,no super over,no super over,no super over,14,simple matches,155,155.0,0,no super over,0
2008-04-27,DC,KXP,SM Katich,KXP,4 wickets,DC,bat,punjab cricket association stadium,chandigarh,27,4,2008,2008,no super over,no super over,no super over,13,simple matches,159,162.0,0,KXP,1
